player_name,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,month,day,opponent,team,score
Adrián Marin,90.0,0.0,1.0,0.0,0.0,8.5,Aug,25,Moreirense,Braga,3.0
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.9,Aug,22,Rapid Wien,Braga,2.0
Adrián Marin,90.0,0.0,0.0,0.0,0.0,8.1,Aug,18,Boavista,Braga,1.0
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.5,Aug,15,Servette,Braga,2.0
Adrián Marin,90.0,0.0,0.0,0.0,0.0,6.7,Aug,11,Estrela da Amadora,Braga,1.0
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.9,Aug,8,Servette,Braga,0.0
Adrián Marin,72.0,1.0,0.0,1.0,0.0,7.5,Aug,1,Maccabi Petach Tikva,Braga,5.0
Adrián Marin,90.0,0.0,0.0,0.0,0.0,7.4,Jul,25,Maccabi Petach Tikva,Braga,2.0
Luis Asué,90.0,1.0,0.0,0.0,0.0,7.8,Aug,25,Braga,Moreirense,1.0
Luis Asué,87.0,1.0,0.0,0.0,0.0,8.0,Aug,18,Arouca,Moreirense,3.0
Luis Asué,83.0,1.0,0.0,0.0,0.0,7.6,Aug,11,Farense,Moreirense,2.0
Luis Asué,90.0,0.0,0.0,0.0,0.0,6.7,May,18,Estoril,Moreirense,2.0
Luis Asué,83.0,0.0,0.0,1.0,0.0,7.3,May,12,Casa Pia AC,Moreirense,1.0
Luis Asué,68.0,0.0,0.0,0.0,0.0,6.5,May,3,Vizela,Moreirense,1.0
Luis Asué,74.0,0.0,0.0,0.0,0.0,6.6,Apr,28,Portimonense,Moreirense,2.0
Tomas Araujo,90.0,0.0,0.0,0.0,0.0,7.8,Aug,24,Estrela da Amadora,Benfica,1.0
Tomas Araujo,85.0,0.0,0.0,0.0,0.0,7.7,Aug,17,Casa Pia AC,Benfica,3.0
Tomas Araujo,90.0,0.0,0.0,0.0,0.0,7.8,Aug,11,Famalicao,Benfica,0.0
Tomas Araujo,45.0,1.0,0.0,0.0,0.0,8.3,Apr,14,Moreirense,Benfica,3.0
Tomas Araujo,90.0,0.0,0.0,0.0,0.0,7.5,Mar,29,Chaves,Benfica,1.0
Pedro Ferreira,90.0,0.0,0.0,1.0,0.0,7.7,Aug,24,Casa Pia AC,Santa Clara,2.0
Pedro Ferreira,90.0,0.0,0.0,0.0,0.0,8.0,Aug,16,FC Porto,Santa Clara,0.0
Pedro Ferreira,90.0,0.0,0.0,0.0,0.0,7.5,Aug,11,Estoril,Santa Clara,4.0
Pedro Ferreira,90.0,0.0,0.0,1.0,0.0,7.3,Feb,29,FC Porto,Santa Clara,1.0
Morten Hjulmand,76.0,0.0,0.0,0.0,0.0,7.7,Aug,9,Rio Ave,Sporting CP,3.0
Morten Hjulmand,103.0,0.0,0.0,0.0,0.0,6.9,Aug,3,FC Porto,Sporting CP,3.0
Morten Hjulmand,120.0,0.0,0.0,1.0,0.0,7.1,May,26,FC Porto,Sporting CP,1.0
Morten Hjulmand,45.0,0.0,0.0,1.0,0.0,6.4,May,18,Chaves,Sporting CP,3.0
Alexander Bah,90.0,0.0,0.0,0.0,0.0,8.3,Aug,24,Estrela da Amadora,Benfica,1.0
Alexander Bah,90.0,0.0,0.0,0.0,0.0,8.5,Aug,17,Casa Pia AC,Benfica,3.0
Alexander Bah,87.0,0.0,0.0,0.0,0.0,6.3,Aug,11,Famalicao,Benfica,0.0
Matheus Nunes,90.0,0.0,0.0,0.0,0.0,7.4,Aug,24,Casa Pia AC,Santa Clara,2.0
Matheus Nunes,90.0,0.0,0.0,0.0,0.0,7.1,Aug,16,FC Porto,Santa Clara,0.0
Matheus Nunes,90.0,0.0,1.0,0.0,0.0,8.5,Aug,11,Estoril,Santa Clara,4.0
Matheus Nunes,7.0,0.0,0.0,0.0,0.0,7.8,Feb,29,FC Porto,Santa Clara,1.0
Matheus Nunes,120.0,0.0,0.0,0.0,0.0,7.8,Jan,11,Nacional,Santa Clara,1.0
Joel Robles,90.0,0.0,0.0,0.0,0.0,8.2,Aug,25,Gil Vicente,Estoril,0.0
Joel Robles,90.0,0.0,0.0,0.0,0.0,7.1,Aug,18,Vitoria de Guimaraes,Estoril,0.0
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.9,Aug,24,Rio Ave,FC Porto,2.0
Ze Pedro,90.0,0.0,0.0,1.0,0.0,7.6,Aug,16,Santa Clara,FC Porto,2.0
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.5,Aug,10,Gil Vicente,FC Porto,3.0
Ze Pedro,120.0,0.0,0.0,0.0,0.0,6.1,Aug,3,Sporting CP,FC Porto,4.0
Ze Pedro,120.0,0.0,0.0,1.0,0.0,7.3,May,26,Sporting CP,FC Porto,2.0
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.2,May,18,Braga,FC Porto,1.0
Ze Pedro,90.0,1.0,0.0,0.0,0.0,8.0,May,12,Boavista,FC Porto,2.0
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.4,May,4,Chaves,FC Porto,3.0
Kanya Fujimoto,73.0,0.0,0.0,0.0,0.0,6.8,Aug,25,Estoril,Gil Vicente,0.0
Kanya Fujimoto,90.0,3.0,0.0,0.0,0.0,9.7,Aug,16,AVS Futebol SAD,Gil Vicente,4.0
Kanya Fujimoto,66.0,0.0,0.0,0.0,0.0,6.4,Aug,10,FC Porto,Gil Vicente,0.0
Kanya Fujimoto,90.0,0.0,0.0,0.0,0.0,6.4,May,18,Estrela da Amadora,Gil Vicente,0.0
Kanya Fujimoto,80.0,1.0,0.0,0.0,0.0,7.7,May,12,Farense,Gil Vicente,2.0
Kanya Fujimoto,76.0,0.0,0.0,0.0,0.0,6.8,May,4,Boavista,Gil Vicente,1.0
Kanya Fujimoto,90.0,0.0,1.0,0.0,0.0,7.7,Apr,26,Arouca,Gil Vicente,2.0
Kanya Fujimoto,83.0,0.0,0.0,0.0,0.0,6.8,Apr,20,Moreirense,Gil Vicente,1.0
Kanya Fujimoto,45.0,0.0,0.0,0.0,0.0,6.4,Apr,12,Sporting CP,Gil Vicente,0.0
Daniel Braganca,72.0,0.0,0.0,1.0,0.0,7.7,Aug,23,Farense,Sporting CP,5.0
Daniel Braganca,90.0,1.0,1.0,0.0,0.0,8.9,Aug,17,Nacional,Sporting CP,6.0
Daniel Braganca,14.0,0.0,0.0,0.0,0.0,6.4,Aug,9,Rio Ave,Sporting CP,3.0
Daniel Braganca,31.0,0.0,0.0,0.0,0.0,6.6,Aug,3,FC Porto,Sporting CP,3.0
Daniel Braganca,49.0,0.0,0.0,1.0,0.0,7.2,May,26,FC Porto,Sporting CP,1.0
Daniel Braganca,17.0,0.0,0.0,0.0,0.0,6.1,May,18,Chaves,Sporting CP,3.0
Daniel Braganca,57.0,0.0,0.0,0.0,0.0,7.0,May,11,Estoril,Sporting CP,1.0
Daniel Braganca,22.0,0.0,1.0,0.0,0.0,7.8,May,4,Portimonense,Sporting CP,3.0
Daniel Braganca,45.0,0.0,0.0,0.0,0.0,6.4,Apr,28,FC Porto,Sporting CP,2.0
Francisco Moura,90.0,0.0,1.0,0.0,0.0,7.9,Aug,24,Boavista,FC Porto,2.0
Francisco Moura,90.0,0.0,0.0,0.0,0.0,6.6,Apr,28,Estoril,FC Porto,2.0
Francisco Moura,90.0,0.0,1.0,0.0,0.0,8.7,Apr,21,Portimonense,FC Porto,2.0
Francisco Moura,90.0,0.0,0.0,0.0,0.0,6.6,Apr,13,FC Porto,FC Porto,2.0
Tiago Silva,90.0,0.0,2.0,0.0,0.0,8.3,Aug,21,Zrinjski Mostar,Vitoria de Guimaraes,3.0
Tiago Silva,83.0,0.0,1.0,0.0,0.0,8.4,Aug,18,Estoril,Vitoria de Guimaraes,1.0
Tiago Silva,79.0,0.0,0.0,1.0,0.0,6.7,Aug,12,Arouca,Vitoria de Guimaraes,1.0
Tiago Silva,90.0,0.0,0.0,0.0,0.0,7.6,Aug,1,Floriana,Vitoria de Guimaraes,4.0
Tiago Silva,89.0,0.0,0.0,0.0,0.0,7.6,Jul,25,Floriana,Vitoria de Guimaraes,1.0
Tiago Silva,79.0,0.0,0.0,1.0,0.0,7.3,May,18,Arouca,Vitoria de Guimaraes,3.0
Tiago Silva,90.0,0.0,0.0,0.0,0.0,6.7,May,11,Braga,Vitoria de Guimaraes,2.0
Calegari,90.0,0.0,0.0,0.0,0.0,8.0,Aug,24,Boavista,Famalicao,1.0
Calegari,86.0,0.0,0.0,0.0,0.0,7.6,Aug,19,Estrela da Amadora,Famalicao,3.0
Calegari,68.0,0.0,0.0,0.0,0.0,7.2,Aug,11,Benfica,Famalicao,2.0
Goncalo Inacio,90.0,0.0,1.0,0.0,0.0,8.3,Aug,23,Farense,Sporting CP,5.0
Goncalo Inacio,90.0,0.0,0.0,1.0,0.0,7.5,Aug,17,Nacional,Sporting CP,6.0
Goncalo Inacio,90.0,0.0,0.0,0.0,0.0,6.9,Aug,9,Rio Ave,Sporting CP,3.0
Goncalo Inacio,101.0,1.0,0.0,0.0,0.0,7.4,Aug,3,FC Porto,Sporting CP,3.0
John Mercado,90.0,0.0,0.0,0.0,0.0,7.0,Aug,25,Vitoria de Guimaraes,AVS Futebol SAD,1.0
John Mercado,77.0,0.0,1.0,0.0,0.0,7.4,Aug,16,Gil Vicente,AVS Futebol SAD,2.0
John Mercado,89.0,1.0,0.0,0.0,0.0,8.3,Aug,10,Nacional,AVS Futebol SAD,1.0
John Mercado,80.0,1.0,0.0,0.0,0.0,8.1,Jun,2,Portimonense,AVS Futebol SAD,2.0
John Mercado,87.0,0.0,0.0,0.0,0.0,6.3,May,25,Portimonense,AVS Futebol SAD,2.0
Hidemasa Morita,90.0,0.0,0.0,0.0,0.0,7.8,Aug,23,Farense,Sporting CP,5.0
Hidemasa Morita,78.0,0.0,0.0,0.0,0.0,7.4,Aug,17,Nacional,Sporting CP,6.0
Hidemasa Morita,89.0,0.0,0.0,0.0,0.0,7.5,Aug,9,Rio Ave,Sporting CP,3.0
Hidemasa Morita,89.0,0.0,0.0,0.0,0.0,6.9,Aug,3,FC Porto,Sporting CP,3.0
