Team,month,day,score
Casa Pia AC,4,27,3
Casa Pia AC,4,21,1
Casa Pia AC,4,14,2
Casa Pia AC,4,8,0
Casa Pia AC,3,31,4
Casa Pia AC,3,17,0
Casa Pia AC,3,8,1
Casa Pia AC,3,3,0
Casa Pia AC,2,24,2
Casa Pia AC,2,18,1
Casa Pia AC,2,11,0
Casa Pia AC,2,5,0
Casa Pia AC,1,29,0
Casa Pia AC,1,20,1
Casa Pia AC,1,13,0
Casa Pia AC,1,8,4
Casa Pia AC,12,30,1
Casa Pia AC,12,17,3
Casa Pia AC,12,9,1
Casa Pia AC,12,2,1
Casa Pia AC,11,25,0
Casa Pia AC,11,10,0
Casa Pia AC,11,5,0
Nacional,9,1,2
Nacional,8,25,0
Nacional,8,17,1
Nacional,8,10,1
Nacional,5,19,2
Nacional,5,12,3
Nacional,5,5,4
Nacional,4,28,3
Nacional,4,22,3
Nacional,4,14,1
Nacional,4,6,2
Nacional,3,30,1
Nacional,3,17,1
Nacional,3,9,1
Nacional,3,3,1
Nacional,2,28,1
Nacional,2,24,3
Nacional,2,18,1
Nacional,2,10,3
Nacional,1,28,2
Nacional,1,21,1
Nacional,1,15,0
Nacional,1,11,1
Nacional,1,6,1
Nacional,12,30,3
Nacional,12,22,1
Rio Ave,9,1,1
Rio Ave,8,24,0
Rio Ave,8,17,1
Rio Ave,8,9,1
Rio Ave,5,17,1
Rio Ave,5,11,2
Rio Ave,5,4,2
Rio Ave,4,27,1
Rio Ave,4,19,1
Rio Ave,4,14,2
Rio Ave,4,6,3
Rio Ave,3,30,0
Rio Ave,3,16,1
Rio Ave,3,9,0
Rio Ave,3,2,0
Rio Ave,2,25,3
Rio Ave,2,16,1
Rio Ave,2,11,1
Rio Ave,2,3,0
Rio Ave,1,31,1
Rio Ave,1,21,0
Rio Ave,1,14,1
Rio Ave,1,7,2
Rio Ave,12,23,0
Rio Ave,12,16,1
Rio Ave,12,10,2
Rio Ave,12,2,1
Farense,9,1,0
Farense,8,23,0
Farense,8,17,0
Farense,8,11,1
Farense,5,18,1
Farense,5,12,0
Farense,5,5,3
Farense,4,29,3
Farense,4,22,1
Farense,4,13,1
Farense,4,5,2
Farense,3,30,1
Farense,3,16,1
Farense,3,9,1
Farense,3,3,2
Farense,2,24,0
Farense,2,18,1
Farense,2,10,1
Farense,2,4,1
Farense,1,28,1
Farense,1,20,3
Farense,1,12,0
Farense,1,6,1
Farense,12,30,0
Farense,12,15,0
Farense,12,8,1
Farense,12,2,1
Farense,11,12,1
Farense,11,6,2
Farense,11,2,2
Estoril,8,31,0
Estoril,8,25,0
Estoril,8,18,0
Estoril,8,11,1
Estoril,5,18,1
Estoril,5,11,0
Estoril,5,5,2
Estoril,4,28,1
Estoril,4,21,2
Estoril,4,13,0
Estoril,4,8,0
Estoril,3,30,1
Estoril,3,15,1
Estoril,3,10,1
Estoril,3,2,1
Estoril,2,25,3
Estoril,2,18,1
Estoril,2,10,1
Estoril,2,4,1
Estoril,1,31,1
Estoril,1,27,1
Estoril,1,24,1
Estoril,1,20,1
Estoril,1,13,1
Estoril,1,9,0
Estoril,1,5,1
Estoril,12,30,4
Estoril,12,17,1
Estoril,12,10,4
Estoril,12,6,3
