player_name,team,Height,Age,Market value,Primary,Touches,Shot attempts,Goals,Chances created,Aerial duels won,Defensive actions
Alejandro Orellana,Estoril,177,24,1000000.0,Central Midfielder,65,31,29,37,54,59
Pastor,Farense,176,24,700000.0,Right-back,37,8,0,36,30,93
Telmo Arcanjo,Vitoria de Guimaraes,180,23,630000.0,Right Winger,0,0,0,0,0,0
Miguel Sousa,Casa Pia AC,176,25,500000.0,Central Midfielder,0,0,0,0,0,0
Jaume Grau,AVS Futebol SAD,184,27,750000.0,Central Midfielder,30,23,75,4,85,94
Jorge Aguirre,Gil Vicente,183,24,550000.0,Striker,0,0,0,0,0,0
Miguel Lopes,Estrela da Amadora,182,37,500000.0,Center-back,43,34,0,31,35,89
Henrique Araujo,Arouca,180,22,2500000.0,Striker,25,30,4,38,45,8
Jean-Baptiste Gorby,Braga,183,22,500000.0,Central Midfielder,0,0,0,0,0,0
Quaresma,Arouca,181,28,2000000.0,Left-back,5,98,0,20,16,14
Lucas Soares,Santa Clara,174,26,660000.0,Right Midfielder,0,0,0,0,0,0
Leonardo Lelo,Casa Pia AC,175,24,4000000.0,Left Midfielder,49,23,24,53,24,36
Ivo Rodrigues,Arouca,179,29,1300000.0,Central Midfielder,51,68,51,29,56,64
Wendell,FC Porto,176,31,8000000.0,Left-back,90,71,83,78,76,48
Fran Navarro,FC Porto,179,26,12000000.0,Striker,15,39,50,29,36,78
Miguel Baeza,Nacional,177,24,400000.0,Central Midfielder,31,10,45,2,47,51
Angelo Neto,Farense,181,33,300000.0,Central Midfielder,53,35,30,22,17,80
Kazu,Gil Vicente,176,24,0.0,Left-back,0,0,0,0,0,0
Marko Grujic,FC Porto,191,28,7000000.0,Central Midfielder,87,12,0,65,100,99
Nermin Zolotic,Casa Pia AC,188,31,750000.0,Center-back,43,12,47,6,21,41
Sidnei Tavares,Moreirense,188,22,750000.0,Defensive Midfielder,0,0,0,0,0,0
Amine El Ouazzani,Braga,188,23,0.0,Striker,30,25,49,13,27,25
Bruno Costa,Nacional,176,27,900000.0,Central Midfielder,61,1,0,77,11,10
Vinicius Zanocelo,Estoril,185,23,2900000.0,Central Midfielder,52,19,45,21,53,56
Pedro Santos,Arouca,183,23,300000.0,Defensive Midfielder,95,21,0,43,3,26
