player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Zaydou Youssouf,Jan 18Braga1-2,9000006.5,90,0,0,0,0,6.5
Zaydou Youssouf,Jan 13Casa Pia AC0-2,8900107.8,89,0,0,1,0,7.8
Zaydou Youssouf,Jan 7Chaves2-2,9000007.6,90,0,0,0,0,7.6
Zaydou Youssouf,"Dec 29, 2023Benfica3-0",8800008.2,88,0,0,0,0,8.2
Zaydou Youssouf,"Dec 17, 2023Estoril1-1",9000007.0,90,0,0,0,0,7.0
Zaydou Youssouf,"Dec 2, 2023FC Porto0-3",8100015.2,81,0,0,0,1,5.2
Zaydou Youssouf,"Nov 11, 2023Vizela0-0",9000008.0,90,0,0,0,0,8.0
Zaydou Youssouf,"Nov 4, 2023Gil Vicente3-1",9000007.5,90,0,0,0,0,7.5
Zaydou Youssouf,"Oct 29, 2023Estrela da Amadora1-0",9000007.9,90,0,0,0,0,7.9
Zaydou Youssouf,"Oct 8, 2023Vitoria de Guimaraes1-3",7600106.3,76,0,0,1,0,6.3
Zaydou Youssouf,"Sep 30, 2023Boavista2-2",9000007.3,90,0,0,0,0,7.3
Ivan Jaime,Mar 16Vizela4-1,1400006.7,14,0,0,0,0,6.7
Ivan Jaime,Mar 12Arsenal5-2,00000-,0,0,0,0,0,-
Ivan Jaime,Mar 8Portimonense0-3,50000-,5,0,0,0,0,-
Ivan Jaime,Mar 3Benfica5-0,80000-,8,0,0,0,0,-
Ivan Jaime,Feb 29Santa Clara1-2,110000-,11,0,0,0,0,-
Ivan Jaime,Feb 25Gil Vicente1-1,6800007.0,68,0,0,0,0,7.0
Ivan Jaime,Feb 21Arsenal1-0,90000-,9,0,0,0,0,-
Ivan Jaime,Feb 17Estrela da Amadora2-0,2000006.4,20,0,0,0,0,6.4
Ivan Jaime,Feb 12Arouca3-2,1300006.3,13,0,0,0,0,6.3
Ivan Jaime,Feb 3Rio Ave0-0,1600006.6,16,0,0,0,0,6.6
Ivan Jaime,Jan 28Farense1-3,1100006.1,11,0,0,0,0,6.1
Ivan Jaime,Jan 20Moreirense5-0,3300006.1,33,0,0,0,0,6.1
Ivan Jaime,Jan 14Braga2-0,30000-,3,0,0,0,0,-
Ivan Jaime,Jan 9Estoril0-4,180000-,18,0,0,0,0,-
Ivan Jaime,Jan 5Boavista1-1,1100006.4,11,0,0,0,0,6.4
Ivan Jaime,"Dec 29, 2023Chaves1-0",00000-,0,0,0,0,0,-
Ivan Jaime,"Dec 18, 2023Sporting CP2-0",00000-,0,0,0,0,0,-
Ivan Jaime,"Dec 13, 2023Shakhtar Donetsk5-3",20000-,2,0,0,0,0,-
Ivan Jaime,"Dec 9, 2023Casa Pia AC3-1",5800007.2,58,0,0,0,0,7.2
Ivan Jaime,"Dec 2, 2023Famalicao0-3",50000-,5,0,0,0,0,-
Tiago Gouveia,Apr 14Moreirense3-0,8902008.8,89,0,2,0,0,8.8
Tiago Gouveia,Apr 11Marseille2-1,00000-,0,0,0,0,0,-
Tiago Gouveia,Apr 6Sporting CP2-1,00000-,0,0,0,0,0,-
Tiago Gouveia,Apr 2Sporting CP2-2,50000-,5,0,0,0,0,-
Tiago Gouveia,Mar 17Casa Pia AC0-1,00000-,0,0,0,0,0,-
Tiago Gouveia,Mar 14Rangers0-1,10000-,1,0,0,0,0,-
Tiago Gouveia,Mar 10Estoril3-1,9011008.4,90,1,1,0,0,8.4
Tiago Gouveia,Mar 7Rangers2-2,60000-,6,0,0,0,0,-
Tiago Gouveia,Mar 3FC Porto5-0,00000-,0,0,0,0,0,-
Tiago Gouveia,Feb 29Sporting CP2-1,20000-,2,0,0,0,0,-
Tiago Gouveia,Feb 25Portimonense4-0,2400007.0,24,0,0,0,0,7.0
Tiago Gouveia,Feb 22Toulouse0-0,00000-,0,0,0,0,0,-
Tiago Gouveia,Feb 18Vizela6-1,8910008.1,89,1,0,0,0,8.1
Tiago Gouveia,Feb 15Toulouse2-1,00000-,0,0,0,0,0,-
Tiago Gouveia,Feb 11Vitoria de Guimaraes2-2,00000-,0,0,0,0,0,-
Tiago Gouveia,Feb 8Vizela1-2,00000-,0,0,0,0,0,-
Tiago Gouveia,Feb 4Gil Vicente3-0,1200006.1,12,0,0,0,0,6.1
Tiago Gouveia,Jan 29Estrela da Amadora1-4,00000-,0,0,0,0,0,-
Tiago Gouveia,Jan 24Estoril5-6,530010-,53,0,0,1,0,-
Tiago Gouveia,Jan 19Boavista2-0,00000-,0,0,0,0,0,-
Nico González,Apr 28Sporting CP2-2,9000006.5,90,0,0,0,0,6.5
Nico González,Apr 21Casa Pia AC1-2,9010008.3,90,1,0,0,0,8.3
Nico González,Apr 17Vitoria de Guimaraes3-1,860000-,86,0,0,0,0,-
Nico González,Apr 13Famalicao2-2,8700007.1,87,0,0,0,0,7.1
Nico González,Apr 7Vitoria de Guimaraes1-2,9000007.0,90,0,0,0,0,7.0
Nico González,Apr 3Vitoria de Guimaraes0-1,830100-,83,0,1,0,0,-
Nico González,Mar 30Estoril1-0,8500107.4,85,0,0,1,0,7.4
Nico González,Mar 16Vizela4-1,7600006.4,76,0,0,0,0,6.4
Nico González,Mar 12Arsenal5-2,10100006.4,101,0,0,0,0,6.4
Nico González,Mar 8Portimonense0-3,7610008.1,76,1,0,0,0,8.1
Nico González,Mar 3Benfica5-0,8301107.5,83,0,1,1,0,7.5
Nico González,Feb 29Santa Clara1-2,930100-,93,0,1,0,0,-
Nico González,Feb 25Gil Vicente1-1,10000-,1,0,0,0,0,-
Nico González,Feb 21Arsenal1-0,8100107.0,81,0,0,1,0,7.0
Nico González,Feb 17Estrela da Amadora2-0,8700007.0,87,0,0,0,0,7.0
Nico González,Feb 12Arouca3-2,7700007.7,77,0,0,0,0,7.7
Nico González,Feb 3Rio Ave0-0,7400007.6,74,0,0,0,0,7.6
Nico González,Jan 28Farense1-3,8900007.0,89,0,0,0,0,7.0
Nico González,Jan 14Braga2-0,7900106.9,79,0,0,1,0,6.9
Nico González,Jan 9Estoril0-4,720010-,72,0,0,1,0,-
Antonio Silva,Jun 11Ireland3-0,9000008.0,90,0,0,0,0,8.0
Antonio Silva,Jun 8Croatia1-2,00000-,0,0,0,0,0,-
Antonio Silva,Jun 4Finland4-2,7400007.1,74,0,0,0,0,7.1
Antonio Silva,May 17Rio Ave1-1,00000-,0,0,0,0,0,-
Antonio Silva,May 12Arouca5-0,6500007.3,65,0,0,0,0,7.3
Antonio Silva,May 5Famalicao2-0,9000006.4,90,0,0,0,0,6.4
Antonio Silva,Apr 27Braga3-1,9000007.0,90,0,0,0,0,7.0
Antonio Silva,Apr 22Farense1-3,9000007.2,90,0,0,0,0,7.2
Antonio Silva,Apr 18Marseille5-2,12000106.9,120,0,0,1,0,6.9
Antonio Silva,Apr 14Moreirense3-0,4500006.9,45,0,0,0,0,6.9
Antonio Silva,Apr 11Marseille2-1,9000005.8,90,0,0,0,0,5.8
Antonio Silva,Apr 6Sporting CP2-1,9000106.0,90,0,0,1,0,6.0
Antonio Silva,Apr 2Sporting CP2-2,900000-,90,0,0,0,0,-
Antonio Silva,Mar 26Slovenia2-0,4500005.7,45,0,0,0,0,5.7
Antonio Silva,Mar 21Sweden5-2,4500006.7,45,0,0,0,0,6.7
Antonio Silva,Mar 17Casa Pia AC0-1,9000108.2,90,0,0,1,0,8.2
Antonio Silva,Mar 14Rangers0-1,9000007.8,90,0,0,0,0,7.8
Antonio Silva,Mar 10Estoril3-1,9000008.1,90,0,0,0,0,8.1
Antonio Silva,Mar 7Rangers2-2,9000007.2,90,0,0,0,0,7.2
Antonio Silva,Mar 3FC Porto5-0,9000004.7,90,0,0,0,0,4.7
Luiz Junior,Apr 13FC Porto2-2,9000007.9,90,0,0,0,0,7.9
Luiz Junior,Apr 6Vizela3-2,9000006.6,90,0,0,0,0,6.6
Luiz Junior,Mar 29Gil Vicente1-2,9000007.2,90,0,0,0,0,7.2
Luiz Junior,Mar 16Estrela da Amadora0-0,9000007.2,90,0,0,0,0,7.2
Luiz Junior,Mar 9Vitoria de Guimaraes1-0,9000008.5,90,0,0,0,0,8.5
Luiz Junior,Mar 4Boavista1-1,9000007.0,90,0,0,0,0,7.0
Luiz Junior,Feb 23Arouca3-2,9000004.8,90,0,0,0,0,4.8
Luiz Junior,Feb 16Rio Ave2-1,9000008.4,90,0,0,0,0,8.4
