player_names,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,Month,Day,Opponent
Alexander Bah,90.0,0.0,0.0,0.0,0.0,6.7,Aug,30,Moreirense
Alexander Bah,90.0,0.0,0.0,0.0,0.0,8.3,Aug,24,Estrela da Amadora
Alexander Bah,90.0,0.0,0.0,0.0,0.0,8.5,Aug,17,Casa Pia AC
Alexander Bah,87.0,0.0,0.0,0.0,0.0,6.3,Aug,11,Famalicao
Alexander Bah,65.0,0.0,0.0,0.0,0.0,7.6,Jul,28,Feyenoord
Alexander Bah,81.0,0.0,0.0,0.0,0.0,6.1,Jun,29,Germany
Alexander Bah,77.0,0.0,0.0,0.0,0.0,7.4,Jun,25,Serbia
Alexander Bah,33.0,0.0,0.0,0.0,0.0,6.6,Jun,20,England
Alexander Bah,90.0,0.0,0.0,0.0,0.0,7.0,Jun,16,Slovenia
Alexander Bah,63.0,0.0,0.0,0.0,0.0,7.1,Jun,8,Norway
Matheus Nunes,90.0,0.0,0.0,0.0,0.0,8.0,Aug,31,AVS Futebol SAD
Matheus Nunes,90.0,0.0,0.0,0.0,0.0,7.4,Aug,24,Casa Pia AC
Matheus Nunes,90.0,0.0,0.0,0.0,0.0,7.1,Aug,16,FC Porto
Matheus Nunes,90.0,0.0,1.0,0.0,0.0,8.5,Aug,11,Estoril
Matheus Nunes,7.0,0.0,0.0,0.0,0.0,7.8,Feb,29,FC Porto
Matheus Nunes,120.0,0.0,0.0,0.0,0.0,7.8,Jan,11,Nacional
Joel Robles,90.0,0.0,0.0,1.0,0.0,7.9,Aug,31,Boavista
Joel Robles,90.0,0.0,0.0,0.0,0.0,8.2,Aug,25,Gil Vicente
Joel Robles,90.0,0.0,0.0,0.0,0.0,7.1,Aug,18,Vitoria de Guimaraes
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.2,Aug,31,Sporting CP
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.9,Aug,24,Rio Ave
Ze Pedro,90.0,0.0,0.0,1.0,0.0,7.6,Aug,16,Santa Clara
Ze Pedro,90.0,0.0,0.0,0.0,0.0,7.5,Aug,10,Gil Vicente
Ze Pedro,120.0,0.0,0.0,0.0,0.0,6.1,Aug,3,Sporting CP
Ze Pedro,74.0,0.0,0.0,0.0,0.0,6.8,Jul,28,Al Nassr FC
Ze Pedro,120.0,0.0,0.0,1.0,0.0,7.3,May,26,Sporting CP
