player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Pedro Ferreira,"Nov 26, 2023Hobro1-2",00000-,0,0,0,0,0,-
Pedro Ferreira,"Nov 12, 2023Næstved1-1",00000-,0,0,0,0,0,-
Pedro Ferreira,"Nov 5, 2023FC Helsingør2-2",7000007.4,70,0,0,0,0,7.4
Pedro Ferreira,"Oct 28, 2023Kolding IF0-1",9000007.6,90,0,0,0,0,7.6
Morten Hjulmand,,,,,,,,
Morten Hjulmand,Aug 31FC Porto2-0,8600007.5,86,0,0,0,0,7.5
Morten Hjulmand,Aug 9Rio Ave3-1,7600007.7,76,0,0,0,0,7.7
Morten Hjulmand,Aug 3FC Porto3-4,10300006.9,103,0,0,0,0,6.9
Morten Hjulmand,Jun 25Serbia0-0,7700107.2,77,0,0,1,0,7.2
Morten Hjulmand,Jun 20England1-1,8310007.6,83,1,0,0,0,7.6
Morten Hjulmand,Jun 16Slovenia1-1,8900106.6,89,0,0,1,0,6.6
Morten Hjulmand,Jun 8Norway3-1,4500006.6,45,0,0,0,0,6.6
Morten Hjulmand,Jun 5Sweden2-1,2901008.5,29,0,1,0,0,8.5
Morten Hjulmand,May 26FC Porto2-1,1200010-,120,0,0,1,0,-
Morten Hjulmand,May 18Chaves3-0,4500106.4,45,0,0,1,0,6.4
Alexander Bah,,,,,,,,
Alexander Bah,Aug 30Moreirense1-1,9000006.7,90,0,0,0,0,6.7
Alexander Bah,Aug 24Estrela da Amadora1-0,9000008.3,90,0,0,0,0,8.3
Alexander Bah,Aug 17Casa Pia AC3-0,9000008.5,90,0,0,0,0,8.5
Alexander Bah,Aug 11Famalicao2-0,8700006.3,87,0,0,0,0,6.3
Alexander Bah,Jul 28Feyenoord5-0,6500007.6,65,0,0,0,0,7.6
Alexander Bah,Jun 29Germany2-0,8100006.1,81,0,0,0,0,6.1
Alexander Bah,Jun 25Serbia0-0,7700007.4,77,0,0,0,0,7.4
Alexander Bah,Jun 20England1-1,3300006.6,33,0,0,0,0,6.6
Alexander Bah,Jun 16Slovenia1-1,9000007.0,90,0,0,0,0,7.0
Alexander Bah,Jun 8Norway3-1,6300007.1,63,0,0,0,0,7.1
Matheus Nunes,,,,,,,,
Matheus Nunes,Aug 31AVS Futebol SAD2-1,9000008.0,90,0,0,0,0,8.0
Matheus Nunes,Aug 24Casa Pia AC0-2,9000007.4,90,0,0,0,0,7.4
Matheus Nunes,Aug 16FC Porto0-2,9000007.1,90,0,0,0,0,7.1
Matheus Nunes,Aug 11Estoril1-4,9001008.5,90,0,1,0,0,8.5
Matheus Nunes,Feb 29FC Porto1-2,70000-,7,0,0,0,0,-
Matheus Nunes,Jan 11Nacional5-3,1200000-,120,0,0,0,0,-
Matheus Nunes,,,,,,,,
Matheus Nunes,,,,,,,,
Joel Robles,,,,,,,,
Joel Robles,Aug 31Boavista0-0,9000107.9,90,0,0,1,0,7.9
Joel Robles,Aug 25Gil Vicente0-0,9000008.2,90,0,0,0,0,8.2
Joel Robles,Aug 18Vitoria de Guimaraes1-0,9000007.1,90,0,0,0,0,7.1
Joel Robles,,,,,,,,
Joel Robles,,,,,,,,
